station channel comp gain poles zeros
ARAWA: BH:  X : 2.9593e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
ARAWA: BH:  Y : 2.9412e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
ARAWA: BH:  Z : 2.9702e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUIN : BH:  X : 2.9680e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUIN : BH:  Y : 2.9363e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUIN : BH:  Z : 2.9364e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUKA : BH:  X : 2.9008e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUKA : BH:  Y : 2.9363e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUKA : BH:  Z : 2.9323e+09 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -7.401600e-02+i*7.401600e-02, -7.401600e-02-i*7.401600e-02 : 0,0,0
BUTIA: BH:  X : 4.6652e+08 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -3.700800e-02+i*3.700800e-02, -3.700800e-02-i*3.700800e-02 : 0,0,0
BUTIA: BH:  Y : 4.6548e+08 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -3.700800e-02+i*3.700800e-02, -3.700800e-02-i*3.700800e-02 : 0,0,0
BUTIA: BH:  Z : 4.6798e+08 : -1.005310e+03, -5.026550e+02,  -1.130970e+03, -3.700800e-02+i*3.700800e-02, -3.700800e-02-i*3.700800e-02 : 0,0,0
